Addresses,Prices
"170 Gore St, Cambridge, MA","$2,250 1 bd$2,300+ 2 bds"
"AVA North Point | 2 Leighton St, Cambridge, MA","$2,170+ Studio$2,420+ 1 bd$3,380+ 2 bds"
"Market Central | 415 Massachusetts Ave, Cambridge, MA","$2,325+ Studio$2,730+ 1 bd$3,566+ 2 bds"
"Church Corner | 10 Magazine St, Cambridge, MA","$2,880+ 2 bds"
"Third Square | 285 3rd St, Cambridge, MA","$2,509+ Studio$2,697+ 1 bd$3,433+ 2 bds"
"Lofts at Kendall Square | 249 3rd St, Cambridge, MA","$2,070+ Studio$2,206+ 1 bd$2,842+ 2 bds"
"Avalon North Point Lofts | 10 Glassworks Ave, Cambridge, MA","$2,140+ Studio"
"339 Broadway STE 3, Cambridge, MA 02139","$2,400/mo
2 bds1 ba600 sqft"
"Proto | 88 Ames St, Cambridge, MA","$2,122+ Studio$2,624+ 1 bd$3,618+ 2 bds"
"Axiom Apartments | 33 Rogers St, Cambridge, MA","$2,944 Studio$2,469+ 1 bd$3,589+ 2 bds"
"169 Monsignor Obrien Hwy, Cambridge, MA","$1,995+ 1 bd$2,800+ 2 bds"
"Vivo Apartments | 270 3rd St, Cambridge, MA","$2,299+ Studio$3,138+ 1 bd"
"Prism | 50 Rogers St, Cambridge, MA","$2,789+ Studio$2,936+ 1 bd$3,964+ 2 bds"
"60 Homer Ave, Cambridge, MA","$1,425 Studio$2,200 1 bd"
"2572 Massachusetts Ave, Cambridge, MA","$3,600+ 4 bds"
"Watermark Kendall West | 350 Third St, Cambridge, MA","$2,520+ 1 bd$3,190+ 2 bds"
"Watermark Kendall West, A03R, Cambridge, MA 02142","$3,115/mo
1 bd1 ba695 sqft"
"Fuse | 165 Cambridgepark Dr, Cambridge, MA","$2,199+ Studio$2,396+ 1 bd$3,265+ 2 bds"
"92 Inman St #L1, Cambridge, MA 02139","$1,800/mo
1 bd1 ba350 sqft"
"Tempo Cambridge | 203 Concord Tpke, Cambridge, MA","$2,116+ Studio$2,400+ 1 bd$2,795+ 2 bds"
"277 Rindge Ave #1, Cambridge, MA 02140","$1,900/mo
2 bds1 ba650 sqft"
"43 Sciarappa St #1, Cambridge, MA 02141","$1,900/mo
1 bd1 ba700 sqft"
"85 3rd St, Cambridge, MA","$1,800+ 1 bd"
"Forest Court | 16 19a Forest St, Cambridge, MA","$2,300+ 1 bd$2,700+ 2 bds"
"29 Lawrence St FLOOR 2, Cambridge, MA 02139","$2,150/mo
1 bd1 ba815 sqft"
"10 Hingham St #1, Cambridge, MA 02138","$2,300/mo
1 bd1 ba800 sqft"
"63 Inman St APT 4, Cambridge, MA 02139","$2,250/mo
1 bd1 ba99,999 sqft"
"346 Franklin St, Cambridge, MA 02139","$2,800/mo
2 bds1 ba750 sqft"
"Cambridge Park Apartments | 30 Cambridgepark Dr, Cambridge, MA","$2,522+ 1 bd$2,700+ 2 bds"
"52 Garden St, Cambridge, MA","$1,995 Studio$2,050+ 1 bd"
"1202 Massachusetts Ave #E54, Cambridge, MA 02138","$1,425/mo
Studio1 ba-- sqft"
"Fresh Pond Pkwy, Cambridge, MA 02138","$1,000/mo
Studio1 ba292 sqft"
"Vox on Two | 223 Concord Tpke, Cambridge, MA","$2,215+ Studio$2,370+ 1 bd$3,060+ 2 bds"
"27 Cameron Ave #B, Cambridge, MA 02140","$1,400/mo
1 bd1 ba450 sqft"
"1663 Cambridge St #1, Cambridge, MA 02138","$3,500/mo
3 bds2 ba1,350 sqft"
"46-48 Cedar Sq #1, Cambridge, MA 02140","$2,000/mo
2 bds1 ba850 sqft"
"48 Saville St, Cambridge, MA","$7,500 3 bds$6,500 4 bds"
"Wheeler St, Cambridge, MA 02138","$3,000/mo
2 bds2 ba1,300 sqft"
"18 Sacramento Pl #1, Cambridge, MA 02138","$4,000/mo
3 bds2 ba1,036 sqft"
"135 Inman St APT 9, Cambridge, MA 02139","$2,400/mo
2 bds1 ba717 sqft"
"29 Concord Ave, Cambridge, MA","$1,950 Studio$1,950+ 1 bd$3,350 3 bds"
"62 Prospect St #1, Cambridge, MA 02139","$2,950/mo
2 bds1 ba1,200 sqft"
"8 Museum Way, Cambridge, MA","$2,199+ 1 bd$2,999+ 2 bds"
"280 Harvard St, Cambridge, MA","$2,400+ 2 bds"
"44 Fulkerson St #2, Cambridge, MA 02141","$2,300/mo
1 bd1 ba550 sqft"
"361 Western Ave #3, Cambridge, MA 02139","$960/mo
3 bds1 ba880 sqft"
"8 Jefferson St #1, Cambridge, MA 02141","$4,600/mo
3 bds2 ba1,046 sqft"
