Address,Bedroom_Number,Price,Distance
"170 Gore St, Cambridge, MA",1,2250.0,2.1132359424303777
"170 Gore St, Cambridge, MA",2,1150.0,2.1132359424303777
" 2 Leighton St, Cambridge, MA",1,2170.0,2.736684553423287
" 2 Leighton St, Cambridge, MA",1,2420.0,2.736684553423287
" 2 Leighton St, Cambridge, MA",2,1690.0,2.736684553423287
" 415 Massachusetts Ave, Cambridge, MA",1,2325.0,1.3711135831335621
" 415 Massachusetts Ave, Cambridge, MA",1,2730.0,1.3711135831335621
" 415 Massachusetts Ave, Cambridge, MA",2,1783.0,1.3711135831335621
" 10 Magazine St, Cambridge, MA",2,1440.0,1.1530232586841551
" 249 3rd St, Cambridge, MA",1,2070.0,2.28927697560723
" 249 3rd St, Cambridge, MA",1,2206.0,2.28927697560723
" 249 3rd St, Cambridge, MA",2,1421.0,2.28927697560723
" 10 Glassworks Ave, Cambridge, MA",1,2140.0,2.7685562059430295
" 88 Ames St, Cambridge, MA",1,2122.0,2.0285883922138095
" 88 Ames St, Cambridge, MA",1,2624.0,2.0285883922138095
" 88 Ames St, Cambridge, MA",2,1809.0,2.0285883922138095
" 33 Rogers St, Cambridge, MA",1,2944.0,2.466802970221339
" 33 Rogers St, Cambridge, MA",1,2469.0,2.466802970221339
" 33 Rogers St, Cambridge, MA",2,1794.5,2.466802970221339
"169 Monsignor Obrien Hwy, Cambridge, MA",1,1995.0,2.5256745899234323
"169 Monsignor Obrien Hwy, Cambridge, MA",2,1400.0,2.5256745899234323
" 270 3rd St, Cambridge, MA",1,2299.0,2.2891518869999055
" 270 3rd St, Cambridge, MA",1,3138.0,2.2891518869999055
" 50 Rogers St, Cambridge, MA",1,2789.0,2.509349357990372
" 50 Rogers St, Cambridge, MA",1,2936.0,2.509349357990372
" 50 Rogers St, Cambridge, MA",2,1982.0,2.509349357990372
"60 Homer Ave, Cambridge, MA",1,1425.0,1.2594078534395485
"60 Homer Ave, Cambridge, MA",1,2200.0,1.2594078534395485
"2572 Massachusetts Ave, Cambridge, MA",4,900.0,2.263535052093529
" 350 Third St, Cambridge, MA",1,2520.0,2.234549303603272
" 350 Third St, Cambridge, MA",2,1595.0,2.234549303603272
" 165 Cambridgepark Dr, Cambridge, MA",1,2199.0,2.1829283376383555
" 165 Cambridgepark Dr, Cambridge, MA",1,2396.0,2.1829283376383555
" 165 Cambridgepark Dr, Cambridge, MA",2,1632.5,2.1829283376383555
" 203 Concord Tpke, Cambridge, MA",1,2116.0,2.4706271745629627
" 203 Concord Tpke, Cambridge, MA",1,2400.0,2.4706271745629627
" 203 Concord Tpke, Cambridge, MA",2,1397.5,2.4706271745629627
"85 3rd St, Cambridge, MA",1,1800.0,2.3892745276505414
" 16 19a Forest St, Cambridge, MA",1,2300.0,1.2916465289699877
" 16 19a Forest St, Cambridge, MA",2,1350.0,1.2916465289699877
"346 Franklin St, Cambridge, MA 02139",2,1400.0,0.9918578887885556
" 30 Cambridgepark Dr, Cambridge, MA",1,2522.0,1.9841023243526341
" 30 Cambridgepark Dr, Cambridge, MA",2,1350.0,1.9841023243526341
"52 Garden St, Cambridge, MA",1,1995.0,0.8532666262651694
"52 Garden St, Cambridge, MA",1,2050.0,0.8532666262651694
"Fresh Pond Pkwy, Cambridge, MA 02138",1,1000.0,0.8823567869999028
" 223 Concord Tpke, Cambridge, MA",1,2215.0,2.538961120106088
" 223 Concord Tpke, Cambridge, MA",1,2370.0,2.538961120106088
" 223 Concord Tpke, Cambridge, MA",2,1530.0,2.538961120106088
"27 Cameron Ave #B, Cambridge, MA 02140",1,1400.0,2.1124860912445587
"48 Saville St, Cambridge, MA",3,2500.0,1.1679891318490194
"48 Saville St, Cambridge, MA",4,1625.0,1.1679891318490194
"Wheeler St, Cambridge, MA 02138",2,1500.0,1.7595903069891308
"29 Concord Ave, Cambridge, MA",1,1950.0,0.8118638091424499
"29 Concord Ave, Cambridge, MA",1,1950.0,0.8118638091424499
"29 Concord Ave, Cambridge, MA",3,1116.6666666666667,0.8118638091424499
"8 Museum Way, Cambridge, MA",1,2199.0,2.7978431823308596
"8 Museum Way, Cambridge, MA",2,1499.5,2.7978431823308596
"280 Harvard St, Cambridge, MA",2,1200.0,1.155039751870159
